Name,Position,Salary
Brock Jones,RF,"$1,077,600"
Tanner Scott,RP,"$1,050,000"
Taylor Hearn,RP,"$1,050,000"
Logan Tanner,C,"$1,030,500"
Jud Fabian,CF,"$1,026,800"
Casey Sadler,RP,"$1,025,000"
Tyler Kinley,RP,"$1,025,000"
Josh Taylor,RP,"$1,025,000"
Brett Martin,RP,"$1,025,000"
Tanner Schobel,SS,"$1,002,000"
Josh Kasevich,3B,"$1,000,000"
Trevor Richards,RP,"$1,000,000"
Guillermo Heredia,CF,"$1,000,000"
Darren O'Day,RP,"$1,000,000"
Kirby Yates,RP,"$1,000,000"
Nazier Mule,RP,"$1,000,000"
Jefferson Rojas,SS,"$1,000,000"
Jacob Melton,CF,"$1,000,000"
Michael Kennedy,SP,"$1,000,000"
Sandy Leon,C,"$1,000,000"
Brenner Cox,OF,"$1,000,000"
Erick Hernandez,OF,"$1,000,000"
Nick Morabito,2B,"$1,000,000"
Ben Joyce,RP,"$1,000,000"
Jake Madden,RP,"$997,500"
Daniel Coulombe,RP,"$979,500"
Taylor Clarke,RP,"$975,000"
Stephen Vogt,C,"$950,000"
Jeffrey Springs,SP,"$947,500"
Andres Munoz,RP,"$937,500"
Jordan Hicks,RP,"$937,500"
Kyle Higashioka,C,"$935,000"
Jonathan Cannon,SP,"$925,000"
Austin Adams,RP,"$925,000"
Jeff Hoffman,RP,"$925,000"
Lucas Luetge,RP,"$905,000"
Christopher Paciolla,SS,"$900,000"
Luke Maile,C,"$900,000"
Tony Blanco Jr.,OF,"$900,000"
Robinson Chirinos,C,"$900,000"
Clark Elliott,RF,"$900,000"
Victor Arano,RP,"$900,000"
Yeral Nin,SS,"$900,000"
Jason Adam,RP,"$900,000"
Maykol Mu̱oz,3B,"$900,000"
Brandon Drury,3B,"$900,000"
Tomas Nido,C,"$890,000"
Austin Voth,SP,"$875,000"
Luis Guillorme,2B,"$875,000"
Tanner Rainey,RP,"$860,000"
Ryan Borucki,RP,"$850,000"
Justin Boyd,OF,"$850,000"
Buck Farmer,RP,"$850,000"
Nick Anderson,RP,"$845,000"
John Brebbia,RP,"$837,500"
Cade Doughty,2B,"$833,600"
Bo Bichette,SS,"$825,000"
Matt Bush,RP,"$825,000"
Franchy Cordero,1B,"$825,000"
Deolis Guerra,RP,"$815,000"
Andrew Taylor,SP,"$807,200"
Josue Brice̱o,C,"$800,000"
Heison Sanchez,SS,"$800,000"
Miguel Diaz,RP,"$800,000"
Andrew Vasquez,RP,"$800,000"
Robert Moore,2B,"$800,000"
Joe Lampe,CF,"$800,000"
Rafael Ramirez,SS,"$800,000"
Josh James,RP,"$800,000"
Cesar Gonzalez,C,"$800,000"
Juan Olmos,C,"$800,000"
Henry Ramos,OF,"$800,000"
Keynan Middleton,RP,"$800,000"
Dan Vogelbach,DH,"$800,000"
Henry Williams,SP,"$800,000"
Rob Refsnyder,RF,"$800,000"
Anthony Bemboom,C,"$780,000"
Carson Palmquist,RP,"$775,000"
Jacob Reimer,3B,"$775,000"
Jack Brannigan,3B,"$770,700"
Yordan Alvarez,DH,"$764,600"
Kyle Tucker,RF,"$764,200"
Peter Lambert,SP,"$762,500"
Jonathan India,2B,"$760,000"
Trey Lipscomb,3B,"$758,900"
Jake Cronenworth,2B,"$757,200"
Colby Thomas,RF,"$750,000"
Dylan Cease,SP,"$750,000"
Cesar Vargas,P,"$750,000"
Ty Blach,RP,"$750,000"
Ruben Santana,SS,"$750,000"
Yoffry Solano,SS,"$750,000"
Ryan Cermak,RF,"$750,000"
Chandler Simpson,2B,"$750,000"
Jalen Beeks,RP,"$750,000"
Drew Smith,RP,"$750,000"
Cristian Javier,SP,"$749,100"
Jose Urquidy,SP,"$748,700"
Zac Gallen,SP,"$745,600"
Alec Mills,SP,"$741,250"
Rafael Ortega,DH,"$738,500"
Ty France,1B,"$734,500"
Codi Heuer,RP,"$734,000"
Josh Rojas,3B,"$730,900"
Abraham Toro,3B,"$730,300"
Alek Manoah,SP,"$730,000"
Tyler Rogers,RP,"$730,000"
LaMonte Wade Jr.,LF,"$730,000"
Logan Webb,SP,"$730,000"
Patrick Wisdom,3B,"$730,000"
Ranger Suarez,SP,"$730,000"
Dustin May,SP,"$730,000"
